close_date,order_number,driver_company,drop_status,otd,type_strike
2023-02-18,125359321_80501079462081,RK TRANSPORTES,COMPLETED,true,Faltantes
2023-05-08,131091935_80583714704757,TRANSOASIS,COMPLETED,true,Faltantes
2023-04-03,21007253_40881112564543,AGILOG TRANSPORTES,COMPLETED,true,Faltantes
2022-12-23,172094271_29042011477758,RK TRANSPORTES,COMPLETED,true,Calidad
2023-04-24,84977924_223311165532789,INDEPENDIENTES,COMPLETED,true,Faltantes
2023-03-13,48909443_85004883093525,RK TRANSPORTES,COMPLETED,true,Faltantes
2023-04-12,30503944_32726985398919,INDEPENDIENTES,COMPLETED,true,Faltantes
2023-04-04,35848396_14194359506723,TRANSOASIS,COMPLETED,true,Faltantes
2023-02-28,55458612_30219163817296,INDEPENDIENTES,COMPLETED,true,Faltantes
2023-05-03,30731785_121712219173975,INDEPENDIENTES,COMPLETED,true,Faltantes
2023-02-17,176490815_32587794962228,GUILHERME TRANSPORTES,CANCELLED,true,Cancelación
2023-03-16,160827291_57160208661822,TRANSOASIS,CANCELLED,true,Cancelación
2023-03-03,283359373_299101640808519,NOLI,COMPLETED,true,Faltantes
2023-03-03,128263565_49229028202265,GUILHERME TRANSPORTES,COMPLETED,true,Faltantes
2023-03-27,161351701_101725678734642,NOLI,CANCELLED,false,Cancelación
2023-05-30,58139030_25177339904014,GUILHERME TRANSPORTES,COMPLETED,true,Faltantes
2023-02-10,150212246_114760658036546,FSP AGILOG TRANSPORTES,CANCELLED,false,Cancelación
2023-03-23,171209391_31355269330624,INDEPENDIENTES,COMPLETED,true,Faltantes
2023-01-30,139715073_181912931562568,GUILHERME TRANSPORTES,COMPLETED,true,Faltantes
2023-03-29,122331028_123727605086108,GUILHERME TRANSPORTES,CANCELLED,false,Cancelación
2023-03-01,234006695_131404414900863,RK TRANSPORTES,CANCELLED,true,Cancelación
2023-04-18,45897720_235981833245725,INDEPENDIENTES,COMPLETED,true,Faltantes
2023-01-04,234950360_65072551905964,NOLI,CANCELLED,true,Cancelación
2023-06-30,19583748_244885069729500,INDEPENDIENTES,COMPLETED,true,Faltantes
2023-06-13,97466107_26877168290244,NOLI,COMPLETED,true,Faltantes
2023-02-11,110478268_104118576468245,NOLI,CANCELLED,false,Cancelación
2023-06-12,24737892_30912505181402,GUILHERME TRANSPORTES,COMPLETED,true,Faltantes
2023-04-27,304245050_156828699262085,No Value,COMPLETED,true,Faltantes
2023-02-25,34175076_122032130085772,No Value,COMPLETED,true,Faltantes
2023-05-20,34175076_20513473274571,INDEPENDIENTES,COMPLETED,true,Faltantes
2023-05-22,235217839_97841290795190,TRANSOASIS,COMPLETED,true,Faltantes
2023-06-16,127911683_138827481181913,NOLI,COMPLETED,false,Faltantes
2023-06-29,346137298_127021591521887,INDEPENDIENTES,COMPLETED,true,Faltantes
2023-01-19,238373174_125353308424413,NaN,CANCELLED,true,Cancelación
2023-06-12,24252907_221938068166350,GUILHERME TRANSPORTES,COMPLETED,true,Faltantes
2023-03-11,268870600_25300039546108,TRANSOASIS,CANCELLED,true,Cancelación
2023-01-20,288345790_45506602743189,NOLI,CANCELLED,true,Cancelación
2023-06-15,40198011_55684249268679,TRANSOASIS,COMPLETED,true,Faltantes
2023-06-24,205401053_61324889913891,INDEPENDIENTES,COMPLETED,true,Faltantes
2023-02-28,296109614_57943932624158,NOLI,CANCELLED,true,Cancelación
2023-02-20,117407371_32511102961945,NaN,CANCELLED,true,Cancelación
2023-03-29,196723919_216917950193606,INDEPENDIENTES,CANCELLED,false,Cancelación
2023-02-23,132261282_55433414248763,INDEPENDIENTES,CANCELLED,true,Cancelación
2023-02-24,39236132_10524046290444,INDEPENDIENTES,COMPLETED,true,Faltantes
2023-01-04,134572812_6592572421598,GUILHERME TRANSPORTES,CANCELLED,false,Cancelación
2023-02-21,188333597_190752905643135,INDEPENDIENTES,CANCELLED,true,Cancelación
2023-03-23,138047581_19050372523388,INDEPENDIENTES,CANCELLED,true,Cancelación
2023-03-03,47918853_48795631999752,RK TRANSPORTES,COMPLETED,true,Faltantes
2023-03-04,246972913_37531797246155,RK TRANSPORTES,CANCELLED,false,Cancelación
